Candidate,Polling,Pollster,Nationwide,State,Sample_Size,Voter_Type,DMY,Link
"Glenn Youngkin",2.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"Katie Britt",1.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"J.D. Vance",37.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Nikki Haley",9.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Vivek Ramaswamy",9.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Marco Rubio",5.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Ted Cruz",5.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Sarah Huckabee Sanders",2.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Ron Desantis",8.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Tim Scott",1.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Kristi Noem",1.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Glenn Youngkin",1.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Josh Hawley",1.00,"Echelon Insights",1,NULL,483,"Likely Voters",2024-11-14,https://echeloninsights.com/in-the-news/nov-2024-verified-voter-omnibus/
"Ron Desantis",9.00,"Morning Consult",1,NULL,994,"Registered Voters",2024-12-06,https://pro.morningconsult.com/analysis/2028-gop-primary-polling-december-2024
"Tucker Carlson",1.00,"Morning Consult",1,NULL,994,"Registered Voters",2024-12-06,https://pro.morningconsult.com/analysis/2028-gop-primary-polling-december-2024
"Nikki Haley",6.00,"Morning Consult",1,NULL,994,"Registered Voters",2024-12-06,https://pro.morningconsult.com/analysis/2028-gop-primary-polling-december-2024
"Vivek Ramaswamy",5.00,"Morning Consult",1,NULL,994,"Registered Voters",2024-12-06,https://pro.morningconsult.com/analysis/2028-gop-primary-polling-december-2024
"Marco Rubio",1.00,"Morning Consult",1,NULL,994,"Registered Voters",2024-12-06,https://pro.morningconsult.com/analysis/2028-gop-primary-polling-december-2024
"J.D. Vance",30.00,"Morning Consult",1,NULL,994,"Registered Voters",2024-12-06,https://pro.morningconsult.com/analysis/2028-gop-primary-polling-december-2024
"J.D. Vance",27.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Nikki Haley",2.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Vivek Ramaswamy",3.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Marco Rubio",3.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Larry Hogan",1.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Greg Abbott",2.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Sarah Huckabee Sanders",1.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Ron Desantis",9.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Tim Scott",1.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Kristi Noem",1.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Glenn Youngkin",2.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Tulsi Gabbard",3.00,"McLaughlin & Associates",1,NULL,453,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"J.D. Vance",25.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Nikki Haley",4.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Vivek Ramaswamy",4.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Marco Rubio",2.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Greg Abbott",1.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Tom Cotton",1.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Rick Scott",1.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Elise Stefanik",1.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Larry Hogan",1.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Sarah Huckabee Sanders",2.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Ron Desantis",9.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Tim Scott",3.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Kristi Noem",1.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Glenn Youngkin",2.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Tulsi Gabbard",3.00,"McLaughlin & Associates",1,NULL,463,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"J.D. Vance",39.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Nikki Haley",8.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Vivek Ramaswamy",5.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Marco Rubio",4.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Ted Cruz",4.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Sarah Huckabee Sanders",2.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Ron Desantis",10.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Tim Scott",1.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Kristi Noem",2.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Glenn Youngkin",1.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Doug Burgum",1.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"Josh Hawley",1.00,"Echelon Insights",1,NULL,466,"Likely Voters",2025-02-10,http://echelonin.wpenginepowered.com/wp-content/uploads/February-2025-Voter-Omnibus-Topline-External.pdf
"J.D. Vance",37.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Nikki Haley",3.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Vivek Ramaswamy",4.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Marco Rubio",4.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Greg Abbott",1.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Sarah Huckabee Sanders",1.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Ron Desantis",9.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Tim Scott",1.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Tom Cotton",1.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Kristi Noem",2.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Glenn Youngkin",2.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Tulsi Gabbard",2.00,"McLaughlin & Associates",1,NULL,468,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"J.D. Vance",46.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Nikki Haley",7.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Vivek Ramaswamy",3.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Marco Rubio",4.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Ted Cruz",5.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Sarah Huckabee Sanders",1.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Ron Desantis",7.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Tim Scott",1.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Kristi Noem",2.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Glenn Youngkin",1.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"Josh Hawley",1.00,"Echelon Insights",1,NULL,457,"Likely Voters",2025-03-10,https://echeloninsights.com/in-the-news/march-2025-verified-voter-omnibus-2-2-2/
"J.D. Vance",47.00,Fabrizio,NULL,Florida,600,"Likely Voters",2025-02-26,https://floridapolitics.com/archives/724265-desantis-vance-florida-poll/
"Ron Desantis",33.00,Fabrizio,NULL,Florida,600,"Likely Voters",2025-02-26,https://floridapolitics.com/archives/724265-desantis-vance-florida-poll/
"Ron Desantis",8.00,YouGov/Economist,1,NULL,594,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"J.D. Vance",43.00,YouGov/Economist,1,NULL,594,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Nikki Haley",3.00,YouGov/Economist,1,NULL,594,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Vivek Ramaswamy",3.00,YouGov/Economist,1,NULL,594,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Marco Rubio",4.00,YouGov/Economist,1,NULL,594,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Tim Scott",1.00,YouGov/Economist,1,NULL,594,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Tulsi Gabbard",1.00,YouGov/Economist,1,NULL,594,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Ted Cruz",2.00,YouGov/Economist,1,NULL,594,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Ron Desantis",13.00,"Overton Insights",1,NULL,536,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"J.D. Vance",36.00,"Overton Insights",1,NULL,536,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"Vivek Ramaswamy",6.00,"Overton Insights",1,NULL,536,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"Marco Rubio",6.00,"Overton Insights",1,NULL,536,"Registered Voters",2025-03-24,https://overtoninsights.com/wp-content/uploads/2025/04/Overton-Insights-Poll-April-2025-Crosstabs-Party-Ideology-2024-Vote-1.pdf
"J.D. Vance",47.00,"Echelon Insights",1,NULL,450,"Likely Voters",2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Nikki Haley",4.00,"Echelon Insights",1,NULL,450,"Likely Voters",2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Vivek Ramaswamy",5.00,"Echelon Insights",1,NULL,450,"Likely Voters",2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Marco Rubio",4.00,"Echelon Insights",1,NULL,450,"Likely Voters",2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Ted Cruz",1.00,"Echelon Insights",1,NULL,450,"Likely Voters",2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Ron Desantis",9.00,"Echelon Insights",1,NULL,450,"Likely Voters",2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Josh Hawley",1.00,"Echelon Insights",1,NULL,450,"Likely Voters",2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"J.D. Vance",53.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Nikki Haley",4.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Vivek Ramaswamy",4.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Tulsi Gabbard",4.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Josh Hawley",2.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Marco Rubio",4.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Brian Kemp",2.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Tim Scott",2.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Ted Cruz",3.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"Ron Desantis",8.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=396464130#gid=396464130
"J.D. Vance",47.00,"Club for Growth",NULL,Iowa,564,"Likely Voters",2025-04-14,https://x.com/axiosalex/status/1912612448898626028
"Ron Desantis",8.00,"Club for Growth",NULL,Iowa,564,"Likely Voters",2025-04-14,https://x.com/axiosalex/status/1912612448898626028
"Ted Cruz",6.00,"Club for Growth",NULL,Iowa,564,"Likely Voters",2025-04-14,https://x.com/axiosalex/status/1912612448898626028
"Nikki Haley",12.00,"Club for Growth",NULL,Iowa,564,"Likely Voters",2025-04-14,https://x.com/axiosalex/status/1912612448898626028
"Marco Rubio",8.00,"Club for Growth",NULL,Iowa,564,"Likely Voters",2025-04-14,https://x.com/axiosalex/status/1912612448898626028
"Vivek Ramaswamy",9.00,"Club for Growth",NULL,Iowa,564,"Likely Voters",2025-04-14,https://x.com/axiosalex/status/1912612448898626028
"Ron Desantis",6.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"J.D. Vance",43.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Nikki Haley",2.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Vivek Ramaswamy",4.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Marco Rubio",2.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Tim Scott",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Tucker Carlson",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Tulsi Gabbard",2.00,YouGov/Economist,1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Ted Cruz",3.00,YouGov/Economist,1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Ron Desantis",10.00,"J.L. Partners",1,NULL,1006,"Registered Voters",2025-04-23,https://floridapolitics.com/archives/735360-desantis-poll-28/
"J.D. Vance",40.00,"J.L. Partners",1,NULL,1006,"Registered Voters",2025-04-23,https://floridapolitics.com/archives/735360-desantis-poll-28/
